Domain;Vertical;AF_Lev_1;AF_Lev_2;Function_Name;Function_ID;Description;UID
Product Domain;Operations Readiness & Support;Product Management;Product Agreement Management;Product Agreement Storage;363;"Product Agreement Storage provides functionality necessary to store and make available the Product Agreements.
This function allows:
- to instantiate or update Product Agreement approved by the customer with their party involved, their configuration, their approvals and their status,
- to update Product Agreements status,
- to search and read Product Agreements.";3618
Product Domain;Operations Readiness & Support;Product Operational Analysis;Product Usage Tracking;Product Specification Usage Forecast;1193;Product Specification Usage Forecast Function forecasts Product Usages for Product Specifications based on previous usages.;3628
Product Domain;Operations Readiness & Support;Product Operational Analysis;Pushed Offer Management;Product Specification & Offering Simulation;1196;Product Specification & Offering Simulation Function simulates Product Specification configuration and Product Offerings on the real traffic of the customer thanks to Tariff Calculation and Rating.;3631
Product Domain;Assurance;Product Performance Management;Product Performance Supervision;Product Performance Supervision;1208;"The Product Performance Supervision Function enables Product to be supervised, in order to prevent the product quality and performance degradation, with an on-the-fly analysis. 

It includes: 
- analysis and evaluation of product performance indicators evolution
- it compares these information and indicators with expected values or pre-established limits
     - when there is a great augmentation of product use and traffic congestion it can trigger a trouble ticket that will be handled via problem management.";3635
Product Domain;Fulfillment;Product Configuration & Activation;Offer and Product Configuration;Customer SLA Preferences Capturing;278;Customer SLA Preferences Capturing captures the customer's SLA preferences  e.g. as part of the fulfillment.;3752
Product Domain;Strategy Management;Product Analysis;Product Profitability Analysis;Product Cost Management;412;Product Cost Management from a Product Performance perspective.;3778
Product Domain;Strategy Management;Product Analysis;Product Profitability Analysis;Product Cost Reporting;413;Product Cost Reporting provides product cost reporting from a Product Performance perspective.;3779
Product Domain;Strategy Management;Product Analysis;Product Diagnostic and Test Quality Loop;Product Test Analysis;1124;Product Test Analysis Function provides an offline analysis of the usage of the tests to determine its relevance and identifies modifications concerning the quota and authorized users. This analysis is done using statistical test usage data to evaluate the tests relevance and the needed updates.;3780
Product Domain;Strategy Management;Product Specification & Offering Strategy Definition & Analysis;Product Specification & Offering Strategy Management;Product Strategy/Propositions Creation;418;Product Strategy/Propositions Creation delivers a product strategy and/or propositions for new or updated product offerings and/or product specifications.;3782
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification & Offering Development;Product Catalog Browsing;123;Product Catalog Browsing provides a browsing function to identify products available for purchase by a given customer, provide selected relevant information (e.g. cost, requirements, configurable attributes) to the customer. This information will be used in the step guidance.;3785
Product Domain;Business Value Development;Product Specification & Offering Management;Product Test Specification Development;Product Test Restitution Design;1075;"Product Test Restitution Design Function specifies Test rules defining the restitution of the result depending on test execution context.
For example: a test result of ok/not ok can be enough for a user whereas customer care may requires more details in the result of the test.";3786
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification Lifecycle Management;Product Specification Recalls Support;1293;Product Specification Recalls Support  function supports carrying out follow-through with Service Provider or Business Partner Product Specification Recalls, including notifying customers and, where appropriate, coordinating returns and replacement logistics.;3788
Product Domain;Operations Readiness & Support;Product Management;Loyalty Account Management;Customer Loyalty Communication;237;Customer Loyalty Communication function sends information related to Loyalty Programs (Point Balance, Prize Request status, renewed Loyalty Code) to external components in push and pull modes.;3790
Product Domain;Operations Readiness & Support;Product Test Management;Product Test Execution;Product Test Authorization Check;1130;Product Test Authorization Check Function verifies test authorization and quota management: product test execution checks.;3793
Product Domain;Operations Readiness & Support;Product Operational Analysis;Product Usage Tracking;Product Specification Usage On-the-fly Analysis;1194;Product Specification Usage On-the-fly Analysis Function comprises the Follow-up of the product use with an on-the-fly analysis (detailed and aggregated) of the customers uses and comparison with the product specification analysis forecasts.;3795
Product Domain;Assurance;Product Performance Management;Product Performance Reporting;SLA Violation Notification;296;SLA Violation Notification function provides the necessary functionality to notify appropriate people or systems to remedy the SLA violation.;3798
Product Domain;Assurance;Product Performance Management;Product Performance Commitment Follow-up;Customer SLA Monitoring;289;Customer SLA Monitoring monitors pending SLA violations before they occur (Jeopardy) by measuring current performance/commitment activity compared to SLA thresholds.;3799
Product Domain;Assurance;Product Problem Management;Product Problem Diagnose;Knowledge Support Access;270;"Knowledge Support Access provides customer browsing function to undertake Self Service access to Knowledge Management database &amp; solutions to common problems.";3800
Product Domain;Assurance;Product Problem Management;Product Problem Diagnose;Customer Problem Performance and Quality Data Diagnostics;1060;Customer Problem Performance and Quality Data Diagnostics provides determination of the source (root cause) of the problem and Update the case with a Cause Code, by Utilizing service performance and service problem management functions and/or by receiving quality of service violation data from Service Quality Management.;3801
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Orchestration;Product Trouble Ticket Prioritization;1212;"The Product Trouble Ticket Prioritization Function prioritizes the Service Trouble Tickets for the processing of related Product Trouble Tickets.
Orchestration can take into account:
- constraints between installed products 
- any type of management rule based on information even external to trouble handling. For example: high priority for VIP customers.";3802
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Archived Cases Retrieval;97;Archived Cases Retrieval function provides the means to retrieve the archived cases as needed.;3803
Product Domain;Billing;Product Usage Management;Product Balance Management;Temporary Balance Units Reservation;44;Temporary Balance Units Reservation provides Unit reservation from a balance for a specified interval (session). Unused units are credited back into the balance when the session is released.;3804
Product Domain;Billing;Product Usage Management;Product Balance Management;Minimum Allowable Balance Setting;45;Records definition of policies per balance or balance type of Minimum Allowable Balance limit (e.g. balance must remain above zero).;3805
Product Domain;Billing;Rating and Follow up;Bill Calculation;Currency Conversion;184;Currency Conversion identifies the required currency conversion if any needed to appropriately bill the customer.;3806
Product Domain;Billing;Rating and Follow up;Bill Calculation;Customer Usage and Charges Report Access;253;Customer Usage and Charges Report Access provides an internet technology driven interface to the customer to access web based reports for (historical) usage and charges directly for themselves.;3807
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Charging Event Accumulation;125;Charging Event Accumulation function accumulates events that provide measurements that will be used in the charge calculation (e.g. used allowance).;3808
Product Domain;Fulfillment;Product Configuration & Activation;Product Activation;Customer Loyalty Subscription Activation;1200;"Customer Loyalty Subscription Activation function manages Loyalty programs activation and deactivation. It includes 
- assigning one or more subgroups to which the customer belongs
- assigning welcome points &amp; send welcome messages 
- generate the unique Loyalty-identifier";3951
Product Domain;Strategy Management;Product Analysis;Product Usage Analysis;Business Operational Usage Analyzing;695;"Business Operational Usage Analyzing provides functions used for mathematical and statistical analysis of Usage Data: calculating correlations, trends, and patterns using complex algorithms. Information includes, but is not limited to:

	on customer and consumer: calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration)
	for customers: purchase behavior
";3952
Product Domain;Strategy Management;Product Analysis;Product Diagnostic and Test Quality Loop;Product Test Improvement Identification;1125;Product Test Improvement Identification Function identifies new Product Tests to be created or Product Tests to be deprecated when considered irrelevant.;3953
Product Domain;Strategy Management;Product Analysis;Product QoS Analysis;Product QoS Dashboard Analysis;1126;"Product QoS Dashboard Analysis Function develops a global ""Dashboard"" in order to analyze the quality / efficiency of the service provided to the customers, measure the customer satisfaction and analyze their claims and/or troubles.
It also includes QoS performance aggregation across groups of customers or aggregate analysis of SLA types.";3954
Product Domain;Strategy Management;Product Specification & Offering Strategy Definition & Analysis;Product Specification & Offering Strategy Analysis;Product Strategy Performance Reporting;419;Product Strategy Performance Reporting enables performance reporting of the strategy, driven by the performance of the underlying products.;3955
Product Domain;Strategy Management;Product Specification & Offering Strategy Definition & Analysis;Product Specification & Offering Strategy Management;Product Strategy Linking;415;Product Strategy Linking links strategy to propositions and links propositions to products.;3956
Product Domain;Business Value Development;Product Specification & Offering Management;Product Supervision Policy Management;Product Supervision Policy Indicators Definition;1204;"Product Supervision Policy Indicators Definition Function enables to define the policy concerning supervision at product level, that is to say the indicators to calculate, to measure product performance and quality, and the conditions of alarm activation.
It defines indicators associated to the product types (declension of the pattern metrics at the product level), with thresholds, calculation rules and consequences (including the definition of the alarm setting off rules)
     - example: availability indicator";3957
Product Domain;Business Value Development;Product Specification & Offering Management;Ordering Rules Development;Order Rules Retrieval;722;Order Rules Retrieval function makes the Order Rules available to e.g. customer order related applications.;3958
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification & Offering Development;Product Specification and Offering Repository Management;1079;"Product Specification and Offering Repository Management is able to create, modify and delete Product Specification and Offering.
This includes the ability to manage the state of an entity during its lifecycle (e.g. planned, deployed, in operation, replaced by, locked).
It includes Product Specifications and Offerings retrieval, integrity rules check and versioning management.
It also provides Product Specification and Offering views adapted to the different roles.";3959
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification & Offering Realization;Product Specification Change Notification;1341;Product Specification Change Notification function enables notifying systems, stakeholders and involved business partners that a new product specification change is pending. This function is ideally automated but can be a manual notification to those systems and processes that require manual intervention to make a product specification change.;3960
Product Domain;Business Value Development;Product Specification & Offering Management;Product Test Specification Development;Product Test Specification Design;1073;"Product Test Specification Design is in charge of designing Product Test Specification. It includes

	Defining the Product Test Specification, depending on the atomic product specification, based on a Service Test Specification or directly a Resource Test Specification (for example for a resource like a box, a STB)
	Managing product test capabilities: the underlying service or resource tests used to define the product test have limitation that must be taken into account. Additional limitations can be enforced at the product level especially for the self-tests for the users
	 Managing initiator authorization: some tests are restricted to some user roles (internal or external) so the authorization are defined at the Product Test Strategy and Policy Management.
";3961
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification & Offering Development;Product Agreement Specification Design;360;Product Agreement Specification Design Function creates and maintains predefined Product Agreement options and templates for ProductOfferings. It includes general term or conditions and approval rules.;3962
Product Domain;Business Value Development;Product Specification & Offering Management;Product Specification Lifecycle Management;Product Retirement;408;Product Retirement Function retires obsolete product offerings as part of the Lifecycle Management (LM).;3963
Product Domain;Operations Readiness & Support;Product Management;Loyalty Account Management;Customer Loyalty Score Balance Management;198;Customer Loyalty Score Balance Management function calculates the score according to accumulation/decrease rules. When a customer subscribes to the loyalty program with more than one SIM or other traffic objects, the Score Management accumulates the points into a single balance. The loyalty score could decrease for one of the following events: prize purchase, points expiry or points deletion by Call Center. The functionality may also include the visualization of Score details (date, description event type, points, final score) via different contact Channels (e.g. via Web, IVR, Call Center).;3964
Product Domain;Operations Readiness & Support;Product Management;Product Repository Management;Product Configuration Check;1201;Product Configuration Check Function Checks for each Product submitted if all Product configuration rules have been respected such as prerequisite, incompatibility rules between ProductSpecifications or mandatory characteristics.;3965
Product Domain;Operations Readiness & Support;Product Management;Loyalty Events Management;Loyalty Product Rules Application;1129;"Loyalty Product Rules Application Function evaluates Loyalty Rules related to Loyalty Events collected. 
Example: if the amount of the invoice is higher than 50, and trigger Loyalty Actions. 
Example: customer order of 100 SMS free, interaction to notify the customer of a discount, add 100 points on the Loyalty Account, etc.";3966
Product Domain;Operations Readiness & Support;Product Management;Product Agreement Management;Product Agreement Implementation;361;"Product Agreement Implementation function provides functionality pertaining to the implementation of the Product Agreement (a.k.a. contract) across fulfillment, assurance, and billing according to Product Agreement Specification.
A Product Agreement represents the approval by the Customer and the Vendor of all term or conditions of a ProductOffering.";3967
Product Domain;Operations Readiness & Support;Product Test Management;Product Test Execution;Product Test Reporting;1132;"Product Test Reporting Function includes:

	Test results restitution: the restitution of the raw test results may depends on the test execution context data.

    -  For the same test, depending on the initiator, the result restitution can be more or less detailed. The user/customer needs less technical details in self-care whereas customer care needs more and more details with higher care level.
    -  However test result restitution levels must always be mutually consistent through all the execution context.

	Test results long term logging for offline data analyses. These analyses are done outside of Product Test Management.
	Possible reporting of test results back to the initiator of the test.
";3968
Product Domain;Operations Readiness & Support;Product Operational Analysis;Fraud Detection;Product Fraud Detection;1133;"The Fraud Detection Function consists in the detection of atypical traffics and exceptional consumption and analysis and research of the fraudulent behavior profiles.
It consumes Product Usage Analysis, Service Usage Analysis, Invoice (in case of right diversion distance between the invoice and the valued use) and usage analysis for a specific number (Surcharged number) in front of installed base, invoiced base.";3969
Product Domain;Operations Readiness & Support;Product Operational Analysis;Product Usage Tracking;Product Usage Collection;1134;"Product Usage Collection Function collects all Product Usages (network probes, device agent, CDRs, Customer Premise Equipment, use of gateway).
It also concerns usage by Customer or by the CSP.";3970
Product Domain;Operations Readiness & Support;Product Operational Analysis;Pushed Offer Management;Pushed Offer Identification;1195;"Pushed Offer Identification Function identifies offers adapted to the customer needs including personalized offers. Based on a customer's individualized knowledge (Marketing one to one), the aim is to elaborate for each customer 

	according to his needs and recent actions
	individualized Product Specifications &amp; Offerings.
";3971
Product Domain;Assurance;Product Performance Management;Product Performance Supervision;Product Performance Measurement;1207;"The Product Performance Measurement Function enables Product functioning to be measured (in real-time or not).

It includes: 
- filtering, aggregation of the collected information
- analysis of 
     - different types of information 
     - results of tests or historic of tests
     - product usage
     - traffic degradations. 
- enrich or calculate product quality and performance indicators (includes KQI, KPI) 
     - Examples of KQI: time to repair warranty, availability percentage on a time slot, percentage of correct vocal quality communications.";3972
Product Domain;Assurance;Product Performance Management;Product Performance Analysis;Product Capacity Analyzing;411;Product Capacity Analyzing provides product capacity analysis from a Product Performance perspective.;3973
Product Domain;Assurance;Product Performance Management;Product Performance Reporting;Customer Service Access;244;"Customer Service Access to functions to provide fully automated service or assisted service over customers touch points. The functions enables customers to assure the service level that they benefit from their service provider for functions like: 

	User Account management - account management (such as contact attributes)
	Self registration to online services
	Service requests management
	Service request submission
	Service request amendment
	Service request closure
	Alerts and notifications setting
	Address book management
	Access to Knowledge Management database &amp; solutions to common problems
	Service Requests and SLA Reporting - reports on service requests and SLA across services.
";3974
Product Domain;Assurance;Product Performance Management;Product Performance Commitment Follow-up;Customer SLA Violation Tracking;299;Customer SLA Violation Tracking function to track and manage open Customer SLA issues.;3975
Product Domain;Assurance;Product Problem Management;Product Problem Diagnose;Root Cause Diagnostics;218;"Root Cause Diagnostics provides diagnostic functions to determine the source (root cause) of the problem and Update the case with a Cause Code 

	Use a detailed physical, logical and service inventory to create an up-to-date detailed customer connectivity/topology view
	Correlate various events associated with customer contact to determine the source
	Use the result of Diagnostics /Testing tools to determine the actual cause.
";3977
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Orchestration;Related Resource Determination;1209;In the context of Product Trouble Ticket the Related Resource Determination Function is in charge of determining the Resources concerned by the incident.;3978
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Management;Case Archiving;96;Case Archiving function provides appropriate functionality to archive cases at an appropriate time after case closure.;3979
Product Domain;Billing;Product Usage Management;Product Balance Management;Balance Expiration Dates Setting;42;Balance Expiration Dates Setting records definition and settings of policies regarding temporal aspects of balance.;3980
Product Domain;Billing;Rating and Follow up;Bill Calculation;On Demand Bill Calculation;61;On Demand Bill Calculation function will invoke a bill calculation on demand for e.g. a purchase.;3981
Product Domain;Billing;Rating and Follow up;Tariff Calculation and Rating;Price and Discount Calculation;55;Price and Discount Calculation applies pricing and discounting rules and algorithms in the context of the assembled information concerning Products (i.e. instances of Product).;3982
Product Domain;Strategy Management;Product Analysis;Product Profitability Analysis;Product Group Profitability Reporting;846;Product Group Profitability Reporting function for Process cost and product group profitability reporting.;4087
Product Domain;Fulfillment;Product Configuration & Activation;Offer and Product Configuration;Product Order Initialization;1123;The Product Order Initialization Function creates the Product Order and initializes it with the operations and default configuration on the mandatory products of the selected offer, or target offer in case of migration.;4088
Product Domain;Assurance;Product Problem Management;Product Trouble Ticket Resolution;Customer SLA Violation Remedy Initiation;297;Customer SLA Violation Remedy Initiation function provides the necessary functionality to pass adjustment or action on to billing or appropriate systems for remedy.;4110
Customer Domain;Assurance,Billing,Fulfillment;Welcome and Interaction;Customer Interaction Management;Customer Interaction Logging;196;"Customer Interaction Logging provides collection and storage of all contact events with the customer via all channels whether unassisted (self service, retail kiosk) or assisted (call center, retail store). All types of interactions, including interaction history order history, trouble ticket history, billing collection history, case management, etc... 
The Store of any communications in any current or future form including Fax, IVR, email, Page, text, online chat, social media and postal mail. 
The storage of all inbound and outbound interactions with the customer.";2000
Customer Domain;Assurance,Billing,Fulfillment;Customer Loyalty and Retention;Customer Value Management;Customer Value Model Development;1118;Customer Value Model Development Function develops a model in order to determine the customer value from its uses (traffic, products and services used), and corresponding revenues and costs.;2001
Customer Domain;Fulfillment;Customer Order Management;Customer Order Repository Management;Customer Order Reporting;172;Customer Order Reporting function provides front end support for Business, Financial and Operational reporting and analyzing of the ordering activities.;2002
Customer Domain;Fulfillment;Customer Order Management;Customer Order Repository Management;Customer Support Jeopardy Notification;175;Customer Support Jeopardy Notification provide to view jeopardy notifications queue and enable the Customer Support to act accordingly (e.g. notify customer on due date delay).;2003
Customer Domain;Billing;Customer Financial Management;Loan Management;Loan Closure;1256;Loan Closure function is responsible for ensuring that all necessary tasks and requirements are completed before a loan can be considered closed. Some of the key responsibilities of the Loan Closure function supports the activities of include: Reviewing loan documentation for completeness and accuracy, Verifying loan terms and conditions, Coordinating with various stakeholders during the loan closing process, Ensuring regulatory compliance with applicable laws and regulations,  Conducting a final audit of the loan file,  Preparing closing statements and coordinating disbursement of loan proceeds, Recording liens and releasing collateral as necessary, Post-closing monitoring and reporting of loan performance.;2050
Customer Domain;Billing;Customer Financial Management;Loan Management;Loan Transfer;1258;Loan Transfer function is responsible for overseeing and managing the process of transferring loans between different financial institutions or servicing entities. The supported principal process activities responsibilities include: Coordinating loan transfer activities, Ensuring data accuracy, managing documentation, Adhering to regulatory guidelines, Collaborating with stakeholders, Maintaining records, Monitoring transfer timelines, and Implementing best practices. These responsibilities help facilitate smooth and compliant loan transfers while maintaining accurate records and minimizing operational risks.;2051
Customer Domain;Billing;Customer Financial Management;Bill Dispute;Bill Dispute Investigation Support;38;Bill Dispute Investigation Support provides support to the investigation of the customer inquiries received through customer service, self care or any other channel about their bills that have not been solved by simple actions. This includes e.g. walk customer through their invoice or grant the request when disputed amount is inferior to a threshold. The case is investigated using billing data (invoice images, billed items, usage history) A/R data (e.g. search of unmatched payment) and others (e.g. installed products, network databases).;2054
Customer Domain;Billing;Customer Financial Management;Bill Dispute;Bill Dispute Customer Notification;39;Bill Dispute Customer Notification provides a notification after a dispute investigation of the settlement result. The customer notification may report of the results, dispute granted (for the whole disputed amount or part of it) or customer request denied.;2055
Customer Domain;Assurance,Billing,Fulfillment;Customer Loyalty and Retention;Loyalty Program Management;Loyalty Program Rewards Specification;1298;"Loyalty Program Rewards Specification function supports defining the rewards to be made available to customers, their ""pricing"" values and fulfillment approaches and terms.";2088
Customer Domain;Assurance,Billing,Fulfillment;Customer Loyalty and Retention;Loyalty Program Management;Loyalty Program Partnerships Management;1299;Loyalty Program Partnerships Management function supports defining the nature of and terms of partnerships with whom a Service Provider's  (and Business Partners') loyalty programs are realized. This may include defining rewards offered by either party, settlement mechanisms and terms, co-marketing plans and arrangements, as well as any integrations that may be necessary to implement the partnerships.;2089
Customer Domain;Assurance,Billing,Fulfillment;Customer Loyalty and Retention;Customer Risk Management;Customer Credit Management;187;Customer Credit Management looks at the credit of the customer, considering the payment history with the service provider as well as the credit scores with external credit agencies.;2092
Customer Domain;Assurance,Billing,Fulfillment;Customer Loyalty and Retention;Customer Risk Management;Customer Churn Risk Identification;243;Customer Churn Risk Identification function identifies indicators that can suggest imminent churn because of dissatisfaction. Measurements can be collected via various tools such as Net Promoter Score (NPS) and made available for action by various service provider groups and supervisory staff.;2093
Customer Domain;Assurance,Billing,Fulfillment;Welcome and Interaction;Customer Context Management;Internal Recommended Action Guiding;240;Internal Recommended Action Guiding gives recommendations and a guided action flow to complete the suitable customer treatment for Inbound, Self-Service or Call Center touch points (ex. Credit Adjustment handled by agent, or bill dispute initiation via self-service).;2100
Customer Domain;Assurance,Billing,Fulfillment;Welcome and Interaction;Customer Context Management;Customer Support Conversational Guiding;280;Customer Support Conversational Guiding displays recommended text and scripting to guide agents in specific conversations/dialogue tailored to each customer interaction. Also provides branching based on customer answers.;2101
Customer Domain;Assurance,Billing,Fulfillment;Customer Loyalty and Retention;Loyalty Program Management;Loyalty Program Rules and Mechanisms Specification;1295;Loyalty Program Rules and Mechanisms Specification function supports defining the eligibility, participation and exchange rules, transaction types, recording and accounting mechanisms, party interactions and terms of Loyalty Programs.;2128
Customer Domain;Assurance;Customer Problem Support;Customer Assistance;Customer Inquiries and Issues to Partner Responding;636;"Customer Inquiries and Issues to Partner Responding handles customer inquiries &amp; issues on behalf of the (supplier) partner (as specified via the partner contract).";2129
Customer Domain;Strategy Management;Customer Strategic Analysis;Customer Behavior Analysis;Customer Behavior Change Analyzing;229;Customer Behavior Change Analyzing analyzes patterns to identify trends and changes in customer behavior, which in turn update the individual profile signatures.;2133
Customer Domain;Assurance,Billing,Fulfillment,Operations Readiness & Support,Strategy Management;Aggregated Function TBD;Aggregated Function TBD L2;Catalog Entity Integrity Rules Control (deleted);10;Catalog Entity Integrity Rules Control applies integrity rules at the catalog entity level. Rules are required to maintain data integrity in the catalog. Human errors during product and service configuration cause major problems in testing and production phases, and automatic mechanisms that can eliminate such errors in advance are mandatory.;2232
Customer Domain;Billing;Customer Financial Management;Payment Management;Collection Payment Plan Monitoring;157;Collection Payment Plan Monitoring monitors the payment plan execution and trigger events for the collection monitoring process.;2252
Customer Domain;Billing;Invoice Management;Invoicing;Bill Image Presentation;65;Bill Image Presentation provides presentation of an exact bill image or after invoking a transactional document generation function.;2254
Customer Domain;Billing;Customer Financial Management;Payment Management;Customer Support Payment Management;171;Customer Support Payment Management function provides front end functionality for the CSR in their day to day payment support related activities.;2255
Customer Domain;Billing;Customer Financial Management;Bill Dispute;Customer Bill Dispute Management;249;Customer Bill Dispute Management provides an internet technology driven interface to the customer to undertake dispute capture and resolution and access to the Dispute Management directly for themselves.;2259
Customer Domain;Billing;Customer Financial Management;Bill Dispute;Agreed-upon Dispute Adjustment;301;Agreed-upon Dispute Adjustment applies an agreed-upon adjustment to settle a customer dispute, with notations, is entered pending research and approval.;2260
Customer Domain;Billing;Customer Financial Management;Bill Dispute;Customer Disputes Registration;302;Customer Disputes Registration provides a registration when a customer questions a charge, account representatives work with the customer to resolve the disputed charge. Open disputes are entered into the dispute management system where an audit process keeps track of its progress until its closed.;2261
Customer Domain;Billing;Invoice Management;Invoicing;Unbilled Invoice Items Listing;66;Unbilled Invoice Items Listing lists all unbilled invoice items for current bill cycle.;2284
Customer Domain;Billing;Invoice Management;Invoicing;Usage Summary and Details Presentation;67;Usage Summary and Details Presentation presents usage summary and details (billed and non-billed) for a specific time period.;2285
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Error Correction;78;Billing Event Error Correction provides correction capabilities via mechanized script or manual correction.;2286
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Error Identification;79;Billing Event Error Identification features to identify the error cause.;2287
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Error Re-distribution;80;Re-distribution features to send the usage to the proper destination(s).;2288
Customer Domain;Billing;Invoice Management;Invoicing;Unbilled Events Categorization;81;Unbilled Events Categorization provides the ability to categorize unbilled events concerning Products (i.e. instances of Product).;2289
Customer Domain;Billing;Invoice Management;Billing Account Administration;Billing Account Price Plan Determining;72;Billing Account Price Plan Determining associates a charge record with the appropriate price plan.;2290
Customer Domain;Billing;Invoice Management;Billing Account Administration;Billing Account Reporting;73;Billing Account Reporting groups charges/statements/accounts for the purpose of creating a report.;2291
Customer Domain;Billing;Invoice Management;Billing Account Administration;Shared Allowances Charging;74;Shared Allowances Charging links a charge record to shared allowance if it exists.;2292
Customer Domain;Billing;Invoice Management;Billing Account Administration;Billing Accounts Creation;75;Billing Accounts Creation provides the ability to create billing accounts based on various account constructs. Account creation can also be automated with orders received.;2293
Customer Domain;Billing;Invoice Management;Billing Account Administration;Billing Account Structure Configuration;76;Billing Account Structure Configuration modifies billing accounts based on various account constructs.;2294
Customer Domain;Billing;Invoice Management;Billing Account Administration;Billing Account Information Configuration;77;Billing Account Information Configuration updates specific billing account information such as customer bill periods, bill media options, etc.;2295
Customer Domain;Billing;Invoice Management;Billing Account Administration;Customer Bill Viewing;245;Customer Bill Viewing provides an internet technology driven interface to the customer to undertake a variety of bill viewing functions directly for themselves.;2296
Customer Domain;Billing;Invoice Management;Billing Account Administration;Customer Billing Cost Center Analyzing;247;Customer Billing Cost Center Analyzing provides external self empowered billing functions over an internet technology driven interface to for customer account cost analysis.;2297
Customer Domain;Billing;Invoice Management;Billing Account Administration;Customer Billing Hierarchies Management;248;Customer Billing Hierarchies Management provide an internet technology driven interface to undertake billing functions directly for management of hierarchies driven billing operations for e.g. corporate customers.;2298
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Processing Distribution;85;Billing Event Processing Distribution function for correlation and distribution of usage data for processing of e.g. bill, customer and product. To supply relevant usage data to the Billing System.;2300
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Processing Enrichment;86;Billing Event Processing Enrichment with complementing data e.g. product or location information to supply relevant information to the Billing System.;2301
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Processing Guiding;87;Billing Event Processing Guiding support for a consistent processing.;2302
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Mediation;88;Billing Event Mediation function that converts records into a format compatible to the Billing System.;2303
Customer Domain;Billing;Invoice Management;Invoicing;Invoice Balance Calculation;309;Provides the means to calculate the balance due for an invoice/bill.;2304
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Aggregation;89;Billing Event Aggregation is part of the Billing Event Processing to supply aggregated billing events to the Billing System.;2307
Customer Domain;Billing;Invoice Management;Invoicing;Billing Event Processing Analyzing;90;Billing Event Processing Analyzing provides billing event analysis and billing event aggregations analysis to control the usage data sent to the Billing System.;2308
Customer Domain;Billing;Invoice Management;Invoicing;Customer Bill Usage Classification;246;Customer Bill Usage Classification provides an internet technology driven interface to customers to undertake calls assignment for classification of usage directly for themselves.;2309
Customer Domain;Billing;Invoice Management;Invoicing;Customer Billing Usage and Charges Reporting;250;Customer Billing Usage and Charges Reporting provides an internet technology driven interface to undertake billing functions directly for Organizational reports on usage and charges for e.g. corporate customers.;2310
Customer Domain;Billing;Invoice Management;Invoicing;Customer Billing Approving;258;Customer Billing Approving provides an internet technology driven interface for customers' organizational hierarchy billing approval.;2311
Customer Domain;Operations Readiness & Support;Customer Information Support;Collect and Qualify Customer Information;Customer Information Searching;122;Customer Information Searching searches the existing customer base using various criteria (name, address, subscriber number, equipment id, billing account number, etc.) and finds the customer record to add the order (using Customer Information Management).;2312
Customer Domain;Operations Readiness & Support;Customer Information Support;Personalize Customer Interaction;Customer Relation Map Exposure  (Deleted);92;Customer Relation Map Exposure maps the customer relation/context to systems such as call center or self-service touch;2313
Customer Domain;Assurance,Billing,Fulfillment;Welcome and Interaction;Customer Interaction Management;Solicitation Policy Execution;1115;"Solicitation Policy Execution Function manages the number of contacts with a customer in order to solicit him only if appropriate. The solicitation policy defined by the service provider also takes into account customer preferences. This avoids under-use and over-use of customer solicitation.
It concerns contacts whatever they happen during fulfillment, assurance or billing.";2314
Customer Domain;Operations Readiness & Support;Customer Information Support;Collect and Qualify Customer Information;Guided Customer Information Capturing;124;Guided Customer Information Capturing provides a step by step guide at the channel to capture the specific information items to be collected (e.g. customer identification, required product / order and the pertinent data for the order). Including Validation guidance - for each information element, may provide set of valid input.;2315
Customer Domain;Operations Readiness & Support;Customer Information Support;Collect and Qualify Customer Information;Customer Hierarchy and Group Management;195;"Customer Hierarchy and Group Management function stores the customer hierarchy and/or groups such as company, relationships and household structures.
Manages complex customer relationships such as an individual who performs multiple roles, or hierarchies such as complex Corporate structures. This function should be able to deal with several levels of complexity from single service accounts to multinational corporations. Hierarchies are defined by an account type and its relationships with parent and child accounts.";2316
Customer Domain;Assurance;Customer Problem Support;Customer Case Workflow Management;Case Workflow Orchestration;111;Case Workflow Orchestration provides arrangement to achieve a wanted result within the Case Management area.;2322
