ID;UID;AF;Hierarchy;Description
3.3.2.3;88;Dunning Scenario Definition;2;TBA
3.3.3.1;89;Loyalty Program Management;2;Loyalty Program Management AF includes functions that define and oversee the creation of, operation of, and evolution of customer loyalty programs.
3.4.1;90;Customer Information Support;1;Customer Information Support Aggregate Function groups functions in charge of collecting, qualifying and managing Customer information and also personalizing Customer profile.
3.4.1.1;91;Collect and Qualify Customer Information;2;"The Collect and Qualify Customer Information Aggregate Function concerns the management of our knowledge of the individual customer to keep or produce an up-to-date, accurate and legally compliant Customer information. 

It will incorporate into the customer profile, all relevant information gathered through all contacts with the customer (demographics, life stage, household, community of interest, business direction) and customer experience offered (quality of service experienced, customer inquiries).
Customer and market information from other sources may be gathered, which will build a better understanding of the customer.

Customer Information must be made available to any process that needs to access it. 
This customer information will be used to continually refine the means and style of interaction, and the solution sets.

Knowledge and consent of the party may be required to store any collected information and to use it (example: opt-in)."
3.4.1.2;92;Customer Information Management;2;"The Customer Information Management Aggregate Function enables the creation and updates of customer information such as name, address(es) and site(s) location, organisation, contact person and contact person roles (legal representative, subscriber, payer, end-user, fleet manager) and contact methods.
The term Customer is used in the broad sense: it represents here person or organisation, potential, existing or former customer."
3.4.1.3;93;Personalize Customer Interaction;2;"The Personalize Customer Interaction Aggregate Function concerns the definition of scripts to make commercial dialog easier and more efficient between customers (including users or prospects) and Customer Service Representative (CSR) or Interactive Voice Response (IVR), 
These scripts can be used during any type of interaction, either to make qualification or sales as well as polls or assistance."
3.4.2;94;Customer Behavior Management;1;Customer Behavior Management Aggregate Function all information related to the customer behavior and actions to be triggered accordingly.
3.4.2.1;95;Customer Behavior Tracking;2;"The Customer Behavior Tracking function concerns the necessary functionality to monitor the Customer Behavior during its relationships with the CSP, public communications and its products uses.
It includes:

	- Track of the contacts by email, SMS, phone, mail and Web (Web use, chat) to provide a detailed and precise understanding of the customer behavior in front of the Telco operator solicitations (marketing campaigns, customer inquiries) or during a customer request.
	- Track all user steps on the web site and influence on social networks: click-stream, viewed pages, consulted product descriptions, comments. In real time, this function analyses the user behavior, identifies his centers of interest and then deduces his profile which will be used to push contents and offers adequate for the user / customer needs.
	- Track of the customer behavior in order to provide a global and personalized vision of its real consumption on all its products based on a detailed view of each product consumption.
"
3.5.1;96;Customer Order Management;1;Customer Order Management functions manage the end to end lifecycle of a Customer Order request from the establishment to the complete delivery. This includes Customer Order Establishment, Customer Order Tracking and LifeCycle Management, as well as Customer Order Orchestration.
3.5.1.1;97;Customer Order Repository Management;2;"Customer Order Repository Management Aggregate Function tracks and manages the events and the lifecycle related to the Customer Order and to its items (e.g. : Order lines).
When the Customer Order is completed, this function publishes the event Order Completed. This event usually triggers the Customer Order Orchestration function to deliver the Customer Order.
It gathers product items delivery events from Customer Order Orchestration and manages related Customer Order lifecycle. It also manages these statuses in case of Order cancellation.
Depending on the Customer Order (or any of its elements) events, and on the implemented business rules, this function can decide to notify automatically the customer of the Customer Order improvement. The notification itself can be made by SMS / email / other medium and is done by the functions of the Welcome and Interaction Aggregate Function."
3.5.1.3;98;Offer and Product Configuration;2;"The Offer and Product Configuration function enables the configuration of the commercial offer chosen by the customer (period of engagement for example) and the products it markets (for examples: telephone number, quantity of SMS/MMS, hours of voice calls, ...). 
The configuration covers the choice of optional offers and products, the choice of the functions values, etc.
It can be based on product configurator using a rule engine.
It can be used at the same time by Selling, Order Establishment or Develop Sales Proposal Business activities."
3.5.1.4;99;Customer Order Eligibility Validation;2;"The Customer Order Commercial Eligibility Aggregate Function validates that the Offer &amp; products specified on the Customer Order, are available and feasible from a commercial and functional point of view.
It includes:
- Commercial Eligibility with commercial compatibility with the already customer installed Offers and with customer profile (age, location, ) 
- Functional Eligibility with functional compatibility with the already customer installed Products.
- Customer Credit Eligibility check, considering the payment history and the credit scores for a Customer, only the predictive credit score for a Prospective Customer.
The technical feasibility at the product level is verified relying on the Service Availability function."
3.5.1.5;100;Customer Order Quotation;2;"The Customer Order Quotation Aggregate Function enables the elaboration of an estimate, including configuration, pricing and feasibility elements, thanks to the specific configuration, eligibility and valuation functions, identifying the various relevant interlocutors (through the Sales Interlocutors Management function), the scenarios to be realized and the lot.
The quotation can be materialized via a document and/or associated to a simplified identification mean (QR code, bar code, ) to ease later interactions and identification of the quotation, and sent to the customer."
3.5.1.6;101;Customer Order Completion;2;"The Customer Order Completion function enables to complete and finalize the Customer Order, after its validation with the requester and before triggering its delivery, with collect of Customer Data.
The complements could concern customer order links with actors, dates, appointment, address, billing account.

The final validation of the Customer Order can trigger the generation of documents such as:
- a contract document, summing up the customer order, and the standard and specific sales terms
- a simplified identification mean such as QR / bar code, and its sending to the customer, by MMS, email,  to ease later interactions and identification of the order. Example: to pick up in store a goods product ordered from web portal or mobile apps, the customer just needs to present the sent QR / bar code."
3.5.1.7;102;Customer Order Change Management;2;Customer Order Change Management Aggregate Function amends pending order resulted from customer change requests or provisioning system limitation and revalidate the order.
3.5.1.8;103;Customer Order Validation;2;The Customer Order Validation Aggregate Function permits to validate the Customer Order, or the cancellation of a Customer Order, with the requester, according to Offer and Product catalogue and installed base (see Customer Order Eligibility function), and to provisioning rules and delays, after tariff calculation with possibly Framework agreement special conditions (see Tariff calculation and rating function).
3.5.1.9;104;Customer Order Orchestration;2;"The Customer Order Orchestration Aggregate Function provides workflow and orchestration capabilities at the Product Order Item level to deliver a dedicated Customer Order. 

Orchestration can take into account :
- Constraints between Product Order Items inside the Customer Order, or successive Customer Orders including modification or cancellation (in-flight changes)
- Any type of business rules based on information even external to the Customer Order. For example : high level of priority for VIP customers
- Triggering of exception process or delivery planning update, depending on Customer Order or Service Order events."
3.5.1.10;105;Customer Order Delivery Preparation;2;"The Customer Order Delivery Preparation Aggregate Function allows in the context of a customer order to:
- query catalogues and installed bases to identify what needs to be delivered: Service Specification (CFS SPec) and its configuration, Stock Item, Supplier Product, Work Spec, related to the ordered product,
- prepare a Service Order (CFS Order), Supplier Order, Stock Item Order or Work Order with the necessary information.
In the case of a Product associated with an Internal Service (Know-How), this function also allows to: 
- check if a corresponding Installed CFS is operational in the Service Installed Base, and so determine the operation at CFS level (creation or modification)
- possibly group in the same Service Order several ordered products, based on the same CFS specification, and/or identified to be delivered at the same time by the Customer Order Delivery Orchestration."
3.5.1.11;106;Voucher Activation Management;2;"The (material or electronic) voucher materializes for example a mobile top-up, a refund, a promotional code. 
The Voucher Activation Aggregate Function performs voucher activation management, after it was bought or ordered and paid.
It checks validity and authenticity of voucher, and marks it as used once it has been completed."
3.6.1;107;Customer Problem Support;1;Customer Problem Support Aggregate Function contains functions responsible for the management of customer request concerning problem, assistance or information.
3.6.1.1;108;Customer Assistance;2;"The Customer Assistance Aggregate Function permits to bring a help to qualify a dysfunction indicated by a user or customer and to suggest basic solution to restore a properly functioning. 
This can be built from list of questions (script), previous experiences, knowledge bases and best-practice descriptions, chat with a CSR,  according to the dysfunction typology. 
It may comprise:
- identification of the customer - or user - and verifying authorization to access assistance via Person Identification and Authentication function
- information on how to use a product, best practices
- check actions like reboot (to see if the dysfunction continues), check of the subscription, configuration check, 
- identification of the product(s) type(s) concerned by a dysfunction
- information concerning collective trouble which may impact the customer or user
   When further to a collective trouble, a message of information is identified by the Service Impact Assessment function, the Customer Assistance function is in charge of implementing this communication (on various support like chat, web, Interactive Voice Server).

If during this phase, the dysfunction is confirmed, the Assurance Process will continue with the Product Trouble Ticket Management and/or Product Test function."
3.6.1.2;109;Customer Case Workflow Management;2;The Customer Case Workflow Management Aggregate Function is in charge of identifying steps of the case, sequencing them and orchestrating the Case Workflow.
3.7.1;110;Customer Financial Management;1;Customer Financial Management Aggregate Function groups functions which manage the processing of financial transactions affecting the customer's financial account.
3.7.1.1;111;Bill Dispute;2;"Bill Dispute Aggregate Function consists of handling the customer inquiries received through customer service, self-care or any other channel, and for all type of product, about their bills that have not been solved by simple actions in the Welcome process (e.g. walk customer through their invoice).
- The initial customer contact and the disputed amount are recorded.
- The case is investigated using billing data (invoice images, billed items, usage history) A/R data (e.g. search of unmatched payment) and others (e.g. installed products, network databases).
- The dispute settlement results in customer notification of the results, dispute granted (for the whole disputed amount or part of it) or customer request denied.
- The case is closed.
When the dispute is granted, the granted amount must be taken off the debt, through a debit adjustment. Depending on business rules in force, this may be billed either as part of the following periodic invoice, or as a specific invoicing process and related accounting document (in this case a credit note).
The reason for the adjustment must be recorded, for example adjustment may be a gesture of goodwill from the company, or a correction for a proven billing error. Depending on local law and regulation, the process and applicable rules may be different.
In addition, if the investigation showed an error in product and services data (e.g. wrong service affected to a contract), the settlement will also include an update request to the installed offers and products repository."
3.7.1.2;112;Payment Management;2;"The Payment Management function is aimed at processing all payment flows issued or received by the Enterprise:
- Regardless of the payment method (address all payment methods supported by the Enterprise), for example a cash payment or a payment with loyalty points to buy an accessory, a payment on invoice to pay the subscription, a payment via a scheduled plan to buy a device
- For prepaid as well as post-paid offers.
- Immediate payments are also recorded (for instance for offer including equipment or terminals sales)
- it also includes management of deposits related to orders.

It comprises the main following sub-functions.
Payment flow management which role is to:
- Manage all of the relations with the banking sector (unique portal), both outgoing (direct debit requests, payments by credit card, refunds by cheque or by bank transfer, etc.) and incoming (for example for bank transfers and cheques files, payment rejections, etc.) for customers,
- Manage all flows related to banking (supervision, management of bank opening schedules) and allow a rapid response in the case of problems.
It includes:
- Formatting of the orders: to the 3rd party systems for outgoing payments (depending on the Electronic Funds Transfer (EFT) agreements with banks or other 3rd parties: e.g. Electronic Data Interchange (EDI) message) and to the originating systems for the incoming payments,
- Grouping and ordering of orders (e. g. group payment requests by target company and source company).

It handles both outgoing (mostly payment requests, occasional refunds), and incoming events (payments or rejections).
- Payment management
This functionality handles the business logic needed to perform a payment request that can require on-line interface with the banking system. It addresses use cases such as :
1. Payment request to top-up prepaid balance / account
A payer wishes to pay on-line for a prepaid account top-up (payer may be the account holder or not),
2. Direct Payment related to a customer order (on-line or in shops) : sale of a device, or deposit for a rented device
3. Payment request to settle a debt.
A payer wishes to pay for one invoice (main case), or a subset of an invoice (partial payment).
- Payment tractability and banking reconciliation
Generically, the payment functionality should involve tracing and querying capabilities that allow to trace back incoming payments to the originating event (outgoing payment request or invoice). A payment can be partial.
- Payment recycling / re-allocation
Depending on the implementation of interfaces with banking or other 3rd party systems, it may happen that incoming payments are received with ambiguous data, i.e. cannot be traced back with certainty to an originating event. In this case, a recycling functionality is needed."
3.7.1.3;113;Dunning;2;"The Dunning Aggregate Function allows the different steps of the dunning to be managed until its resolution (payment or write off).
It covers soft and hard dunning phases (soft dunning ends with contract termination).
It comprises the following sub-functions:
- Update financial scoring: update of the customer scoring information, based on events that are significant of payer behavior of the customer (e.g. late payment, delays, etc.) 
- Initiate dunning strategy: implementation of the companys dunning strategy within its information system. 
Example: A payment schedule is assigned according to a variety of customer criteria, such as customer type, payment means, payment behavior, etc.
- Manage the dunning and event process: Management of the dunning process pertaining to a dossier and the automatic or manual chaining of actions, as issuing a SMS, a letter, an outbound call, a barring action (suspension, restriction or even contract termination, via an order) or delay fees. 
- Business and follow-up activities: Control and management of the dunning activity. It generates statistics.
- Penalty Charges: Automatic and manual generation of the penalty charges (dunning charges, payment rejection fees) linked to dunning of the due amount, in order to bill the customer according to the details of his / her contract..
- Payment delay agreement and promises: Inclusion of a payment schedule or a promise of payment, negotiated with the customer during the dunning process. 
- Write off: When the debt is considered as irrecoverable, the amount of the debt is written off (the dunning file is closed and the customer subledger accounting is informed)."
3.7.1.4;114;Loan Management;2;Loan Management Aggregate Function includes functions involved in managing the lifecycle and administration of Loans, as viewed from the perspective of the lender.
3.7.2;115;Invoice Management;1;The Invoice Management Aggregated Function groups functions related to the production of the customer invoices and to prevention activities.
3.7.2.1;116;Billing Account Administration;2;"The Billing Account administration Aggregate Function manages all the information related to the billing account, needed to produce an invoice and agreed with the customer such as :
- The associated invoicing group (linked to the periodicity and the date of the invoice production),
- Perimeter of installed contracts and products charged to the billing account, and for which any type of charges can be collected (one time charges, recurring charges or usage charges),
- Parties and party roles concerned by the billing process, such as Holder, Payer, Bill receiver, etc.,
- Invoice structure and presentation rules,
- And possibly default payment means for automatic generation of payments."
3.7.2.2;117;Invoicing;2;"The Invoicing Aggregate Function comprises two steps: bill composition (i.e. sorting and assembly of bill items) and bill production. 
It enables either physical or electronic invoices, through the formatting and generation of final form (paper, CD-ROM, pdf ) and delivery (sending by e-mail, post or displaying through a web self-care portal). 
On electronic format, the invoice can include tools enabling consumption analysis for corporate needs for instance."
3.7.2.3;118;Risk Mitigation Measures Enforcement;2;"The Risk Mitigation Measures Enforcement Aggregate Function enforces the Risk Mitigation  scenarios previously defined by the Customer Risk Mitigation Definition, that is:
- Detection of billable amounts threshold (according to billing account owners risk profile and related scenario),
- Triggering of actions (e.g.: sending alert SMS, triggering product barring) via dedicated functions."
3.8.1;119;Customer Loyalty and Retention;1;Customer Loyalty and Retention Aggregate Function groups functions related to the use of loyalty schemes to attract and gain the loyalty of customers, and to the retention of acquired customers.
3.8.1.1;120;Customer Risk Management;2;"Customer Risk Management Aggregate Function is based on information collected from all internal processes and that consistent risk assessment is used across the Enterprise Detection to manage with customer axes, fraud risk, influence risk, and churn risk.
It includes also detection of the outstanding payment risks, for a new customer or during a new order for example, with:
- Definition of the class ""bad debtors, from analysis of the profiles of bad debtor behaviors.
- Score calculation from collected information related to the customer"
3.8.1.2;121;Personalize Customer Profile;2;"The Personalize Customer Profile Aggregate Function includes:

	- Steering of the commercial pressure: manages the number of contacts with a customer in order to solicit him only if appropriate. The commercial pressure concerns the under and over customer solicitation.
	- Personalization of the customer relationship: based on a follow-up of the customer behavior, the aim is to select some key elements in order to personalize the relation during the customer contacts (contacts with the Telco operator services initiated by the customer).
	- Identification of the interaction channels by customer or segment: Identification of the optimal interaction channel for each customer or customer segment, based on the profile study and the history of the contacts.
"
3.8.1.3;122;Customer Value Management;2;"The Customer Value Management Aggregate Function comprises:

	- Measure and follow up of the customer value: Development of a model in order to determine the customer value from its uses (traffic, products and services used), and corresponding revenues and costs. The follow-up of the customer value evolution (identification of the evolution tendencies of the value and actions concerning the creation or destruction of value, Average Revenue Per User, margin per user).
	- Predictive Scoring of the new customer behavior: using a predictive model based on the histories of customers having the similar profile, determine the expected evolution of the customer value and his lifetime. Customer scoring is performed when customers sign up a contract, then enriched and updated by events occurring during the customer lifecycle (e.g. revenue generated, usage patterns, payment behavior...). The output of customer scoring could be a risk level or an opportunity.
	- Segmentation based on the customer value and/or lifetime value: Regrouping of the customers in relevant sets (even subsets) for Marketing. The segmentation criteria use the customer value, the customer lifetime value, the product and service uses (consumption behaviors).
"
3.8.2;123;Welcome and Interaction;1;Welcome and Interaction Aggregate Function groups functions in charge of managing all interfaces between the company and the existing or prospective customer.
3.8.2.1;124;Customer Interaction Management;2;"The Customer Interaction Management Aggregate Function manages all type of interactions with Customers (e.g. customer, prospect, product user, ) and enables recording such interactions (duration, type and reason), manages interactions follow-up, escalation and historical background.

An interaction can be initiated:
- by a Customer (inbound contact), through the Welcome process, to identify his needs, problems, 
- by the CSP or one of its representative (outbound contact), through the Campaign Execution, Welcome, Order Follow up,  processes, 
     - to inform the customer about our offers, promotions, 
     - or about his on-going requests, queue position, 
     - or to alert him in case of network problem, over consumption, payment delay, "
3.8.2.2;125;Customer Context Management;2;"Customer Context Management Aggregate Function allows to define the needed information and the first actions to be initiated once the person has been identified and authenticated. Moreover, information and actions should be set in accordance with the channel used by the actors (human, system).
Different rules have to be set in accordance with:
- Context of the request
- Role of the person initiating the request
- Customer contract situation
- List of possible actions with priorities
- The CSR or seller role and expertise level, if present, in the context of the request
- Presentation rules for the channel or device involved."
3.8.2.3;126;Queue Management;2;"Queue Management Aggregate Function permits to manage queues when customers need to interact with the CSP customer service representatives (CSR), whatever the channel:

	- in shops, the customer can go to the reception desk, be identified via NFC or can self-register via automatic desk
	- by phone, via the customer phone number, the customer identifier, ...
	- on web portal, via the customer credentials


When an interaction is initialized and if the CSR can't be immediately identified or is not available, the Queue Management Aggregate Function permits to associate the interaction to the relevant team - or team member - queue, depending on the type of request.
It can also manage

	- priority assignment, depending on the customer (ex: premium customer) or on type of request
	- waiting time calculation - and customer information
	- possibility to make an appointment


When the CSR is available, this function can trigger a SMS push, for example, to inform the customer (via the Interaction Management function)."
3.8.2.4;127;Customer Request Management;2;"Customer Request Management Aggregate Functionallows:
1) The capture of all information required by the Customer Request according to its type or nature. Depending on the type or nature of the Customer Request, the list of information to capture may strongly vary. Depending also on information captured, additional information may be required. The Customer Request information capture shall use configuration parameters and rules to determine which information needs to be captured and when.
2) The qualification of the Customer Request according to configured criteria and information captured. Customer Request Management shall be able to determine the result of the captured Customer Request. This result may either be: the triggering of the Sales subdomain functions (from Offer and Product Development, Management and Operation Domain), the generation of a Customer Problem (that may correspond to a Bill Dispute), the generation of a Product Trouble Ticket."
4.1.1;128;Service Strategy Management;1;Service Strategy Management Aggregate Function groups functions useful to define the service strategy and to develop it (new services or enhance the existing services).
4.1.1.3;129;Service Strategy Design and Planning;2;"The Service Strategy, Design and Planning Aggregate Function is responsible for the definition of the service strategy at the company level. This function takes into account a list of inputs to determine the need to implement new services, to modify or replace existing services or to stop them. As inputs, the function can use the following information:
- The existing context of the company with available services and resources (network, PFS)
- The data produced by the Service Usage Analysis function
- The performance, quality and test results of existing services or in test services (like POC to test new services in run)
- The new services and underlying technologies that are developed in the industry (following services trend, new generation of network, competitors...) and evaluation of the appeal for these new solutions including information provided by the Offer and Product Strategy function
- Marketing constraints concerning the date of opening for new service
- The cost of the existing and new services and technologies with benefit evaluation
- The possibility or the obligation to provide the services to third parties
- The resource strategy defined in a bottom up process (techno-push)

Following the definition of the service strategy, and after the definition of the resource strategy and the resource design, the Service Strategy, Design and Planning function updates the service design by requesting the modifications (creating, updating, deleting) of the service specifications to the service catalogue and thus the evolution of the know-how.

Finally, the Service Strategy, Design and Planning function provides a high level planning of the strategy implementation. This high level plan contains for example the choice of technology with selected options (VHBB with FTTH or RFOG or both), the site management strategy, the selection of partners to provide contents The strategy planning can take into account constraints (like legal constraints or the need of a validation by authorities) and notify other companies, local authorities or governments of the chosen strategy."
4.1.2;130;Service Analysis;1;Service Strategic Analysis Aggregate Function groups functions useful to conduct delayed analysis, on the collected information concerning service, which may have an influence on the strategy.
4.1.2.2;131;Service Diagnostic and Test Relevance Quality Loop;2;"Service Diagnostic and Test Relevance Quality Loop Aggregate Function provides the necessary functionalities to manage a quality loop on diagnostic to continually tweak and improve it.
Functionalities include:

	- Management of success/failure result feedback of diagnostic and correction provided by technicians or the systems after a correction
	- Offline analysis of the success/failure data compared to the diagnostic and correction rules to provide modifications to improve them. This analysis is done using statistical diagnostic data and test results to evaluate their relevance and the needed updates.

The provided improvements can be used to update the definition of diagnostic rules and correction actions in the Service Problem Policy Management function and the definition of tests in the Service Test Policy Management function."
4.1.2.3;132;Service Usage Analysis;2;"The Service Usage Analysis Aggregate Function comprises analysis of the Service use and traffic and calculates Service Usage forecast between operators according to Service Usage Analysis.

It includes forecasts of traffic between operators in order to:
- allow traffic visualization according to various criteria (produced, country, carriers, services, routings)
- analyze the traffic measured, developed and billed with KPIs such as volume in minutes, number of communications, number of messages, amount valued / charged expressed by nature by call, by products, countries, cities or regions, by operators, by network type (2G, 3G, 4G), by contracts on the market international Wholesale in purchase / sales.
- deliver mobile KPIs such as the number of unique Roaming users per product (Month To Date / Year To Date)
- deliver analysis to optimize the network elements involved."
4.2.1;133;Service Capability Management;1;Service Capability Management Aggregate Function groups functions in charge of specifying and managing Service Specification capabilities.
4.2.1.1;134;Service Test Resource Check;2;Service Test Resource Check Aggregate Function is in charge of defining, implementing and checking resources used to test Services.
4.2.1.2;135;Service Deployment and Retirement;2;"The Service Deployment and Retirement Aggregate Function is responsible for implementing the service strategy high level plan and develop the service infrastructure that will be used to provide the service (through products) to the customers at large (mass market, enterprise, to third parties/partners...) The Service Deployment and Retirement function manages the deployment constraints like area limitation (for test or for marketing purposes), progressive deployment following precise milestones

The service deployment and retirement can be responsible to manage constraints (like legal constraints or the need of a validation by authorities) and notify other companies, local authorities or governments of the effective deployment or retirement of a service.

Based on the resources developed in the Resource Installed Base, the Service Installed Base is updated and pre-configured if needed, for example for generic services with no specific customer configuration."
4.3.1;136;Service Quality and Performance Development;1;The Service Quality and Performance Management Aggregate Function groups functions that supervise service functioning and manage resulting alarms.
4.3.1.1;137;Service Performance Development;2;"Service Performance Development Aggregate Function enables to define the strategy and policy concerning supervision at service level, that is to say the indicators to calculate, to measure service performance and quality, and the conditions of alarm activation.
It includes:
- definition of indicators associated to the service types (declension of the pattern metrics at the service level), with thresholds, calculation rules and consequences
     - example: rate of not cut communications (=maintained 2 minutes), availability indicator
- definition of the alarm setting off rules 
- definition of severity and risk level evaluation rules 
     - internal rule with regard to the area of the impact
     - rule linked to the contract (SLA)
          - bringing constraints on the interruption slot or requiring to plan the interruption with the customer in the case of scheduled works."
4.3.1.2;138;Service Quality Development;2;Service Quality Development Aggregate Function provides establishment of Service quality indicators specifications and the rules connected to them.
4.3.1.3;139;Service Performance Management;2;Service Performance Management aggregate function groups functions that both proactively and reactively optimize the delivery of services to customers.  This can include a real-time, end-to-end view to ensure that each service is functioning correctly as well as a historical view. These functions build on the Resource Performance data and active end-end service performance test data to provide a view of a service.They provide a key input to determine the Quality of Service.
4.3.2;140;Service Specification Development;1;"The Service Specification Development Aggregate Function enable to create and update the catalog at Service level :
- definition of the Service Providers know-hows (Customer Facing Services specification) and pre-requisite
- definition of the technical solutions available for each know-how (Resource Facing Services specification)
- links with the Supplier Product Catalog for know-hows, technical solutions or part of technical solutions not realized by the Service Provider itself.
It is also responsible for implementing the service strategy high level plan and develop the service infrastructure that will be used to provide the service (through products) to the customers at large (mass market, enterprise, to third parties/partners...) The Service Deployment and Retirement function manages the deployment constraints like area limitation (for test or for marketing purposes), progressive deployment following precise milestones"
4.3.2.1;141;Technical Solution Policy Management;2;"The Technical Solution Policy Management Aggregate Function enables to define - and to check consistency of - potentially complex rules to automate the choice of the technical solution for a know-how - or parts of the technical solution.

Criteria can be of various nature and combined :
- geographical
- depending on the chosen characteristics values of the know-how
- depending on other products / know-hows of the customer - installed or ordered
- depending on the current state of Service Platforms, Network equipment (occupation rate, load balancing,  )
- depending on Supplier/Partner contracts (volume discounts, )"
4.3.2.2;142;Service Specification Design;2;"The Service Specification Design Aggregate Function enables to create and update the catalogue at Service level :
- definition of the Service Providers know-hows (CustomerFacingServices specification) and pre-requisite
- definition of the technical solutions available for each know-how (ResourceFacingServicesspecification)
- links with the Supplier Product Catalogue for know-hows, technical solutions or part of technical solutions not realized by the Service Provider itself.

These know-hows specifications (and their technical solutions specifications) can then be used to define Products specifications which will be ordered by customers and delivered, but also for the internal needs of the Service Provider to manage its Service Platforms and network infrastructure process."
4.3.3;143;Service Test Specification Development;1;"Service Test Specification Development Aggregate Function functions provide the necessary functionalities to manage the service test catalog containing the service test specifications, the rules that define the test configuration setting up based on the context, the rules that define the strategies for executing the test as well as how the test results should be restituted.
Test strategies can range from simple to complex and encompass the definition of test scenario.
The definition of the test (with specification and rules) is very important because it defines the question that is asked and thus shapes the result that is reported back.
The functionalities include providing:
- Service Test Specification and test scenario management
  - Test scenario management: for example, a home equipment self-test can trigger a test scenario that verifies the functioning of all the services associated, depending on the installed products of the user. Thus, the Box could test its internal configuration and functioning and its capacity to connect to internet and VoIP services.
  - Managing service test capabilities: some resources used to implement services have limited capabilities for executing tests, especially for multiple parallel testing. All the constraints linked to limited resources test capabilities and depending on the execution context must be aggregated and managed at service test level.
  - Managing initiator authorization: some tests are restricted to some user roles (internal or external) so the authorization are defined at the Service Test Strategy and Policy Management
- Test rules defining the strategies for setting up test configuration
- Test rules defining how to carrying out the service test
  - For example: to choose the next test in a scenario depending on the results of the previous tests
- Test rules defining the enrichment of test results. 
  - For example: enrichment of internet bandwidth measure based on installed product
- Test rules defining the restitution of the result depending on test execution context
   - For example: a test result of ok/not ok can be enough for a user whereas customer care requires more details in the result of the test."
4.3.3.1;144;Service Test Policy Management;2;"Service Test Policy Management Aggregate Function provides the necessary functionalities to manage the service test catalogue containing the service test specifications, the rules that define the test configuration setting up based on the context, the rules that define the strategies for executing the test as well as how the test results should be restituted.
Test execution strategies can range from simple to complex and encompass the definition of test scenario.
The definition of the test (with specification and rules) is very important because it defines the question that is asked and thus shapes the result that is reported back.
The functionalities include providing:
- Service Test Specification and test scenario management
  - Test scenario management: for example, a home equipment self-test can trigger a test scenario that verifies the functioning of all the services associated, depending on the installed products of the user. Thus, the box could test its internal configuration and functioning and its capacity to connect to internet and VoIP services.
  - Managing service test capabilities: some resources used to implement services have limited capabilities for executing tests, especially for multiple parallel testing. All the constraints linked to limited resources test capabilities and depending on the execution context must be aggregated and managed at service test level.
  - Managing initiator authorization: some tests are restricted to some user roles (internal or external) so the authorization are defined at the Service Test Strategy and Policy Management
- Test rules defining the strategies for setting up test configuration
- Test rules defining how to carrying out the service test
  - For example: to choose the next test in a scenario depending on the results of the previous tests
- Test rules defining the enrichment of test results. 
  - For example: enrichment of internet bandwidth measure based on installed product
- Test rules defining the restitution of the result depending on test execution context
   - For example: a test result of ok/not ok can be enough for a user whereas customer care requires more details in the result of the test."
4.4.1;145;Service Management;1;Service Management groups functions in charge of managing the inventory of installed services.
4.4.1.1;146;Service Repository Management;2;"The Service Repository Management Aggregate Function stores and maintains the instances of know-hows (CustomerFacingServices) corresponding to products, ordered by customers, their configuration and links between them (ex: relies on).

It also describes and maintains, for each installed know-how (or service), the links with the chosen technical solution (ResourceFacingServiceSpec and corresponding Resources) which permit to manage the change of a technical solution - or part of it - for instances of know-how (example: new generation of Service Platform to deploy)."
4.4.1.2;147;Service Impact Assessment;2;"The Impact Assessment Aggregate Function enables the calculation of the impact of a resource event or set of events, depending on severity and risk level evaluation rules defined by the Service Performance Developement function.

The resource event can be: 
- a resource trouble or a resource trouble ticket
- an alarm on the resource
- a work planned on the resource (ResourceOrder issued from a Delivery process, from infrastructure operations, from problem management ) or a Project concerning the resource
The nature and the estimated duration of the event can be used for the impact analysis. 

Different types of evaluation rules can be defined, for example:
- rules based on the volume of the impact (example: number of installed services using an installed resource)
- rules based on the related service level agreement (example : a unique installed service can be impacted but with a very high SLA) 

This function provides functionality to:
- identify impacted elements: makes the link between the impacted installed resource and directly or indirectly impacted installed services and installed products (example: an access trouble impacts services supported by the access)
- determine the level, severity and the risk level of the impact,
- helps to plan the execution in appropriate time slot, when customer agreement is required and/or to comply with SLA
- make sure that the means to process the impact are correctly identified, affected and overseen.
- get back the necessary information to be able to notify the concerned customers.

In an assurance context, this function consumes information such as Installed Resource and Service (including SLA), ResourceTrouble, ResourceTroubleTicket, ResourceAlarm. In an infrastructure operation context, this function consumes information such as ResourceOrder, ProjectElement.
It can produce indicators - such as severity and risk indicator - or identify constraints or choice element concerning the intervention slot in order to minimize impacts."
4.4.1.3;148;Service Audit;2;"The Service Audit Aggregate Function permits to identify and check the consistency of the current state and the configured characteristics of the installed Services, between the Service Repository, Service Platforms and Network Equipment. Its to ensure that ordered and delivered Products / Know-hows are well configured and activated. 
This function can be used after changes of equipment or software for example.

Several mechanisms are available such as :
- Notification 
- Polling - can be automatic or on-demand (in case of Trouble Ticket for example)."
